Size	   Bubble Sort	Selection Sort	Insertion Sort
50	43464.61	15954.055	30463.3
100	29496.186	12630.165	68245.45
150	57275.227	24484.73	12456.52
200	96411.29	36625.535	20941.795
250	148226.94	54928.363	31544.96
300	213916.36	77652.47	44552.203
350	284514.4	103739.95	59323.94
400	366375.16	130717.54	75783.31
450	456780.16	164838.34	95511.24
500	563502.5	199055.77	114954.88
550	671438.75	237791.12	141316.73
600	793363.1	277345.72	163936.25
650	929666.4	324134.25	194239.72
700	1064968.6	377840.72	224868.88
750	1211648.4	423077.97	251280.0
800	1390905.0	489327.75	292439.34
850	1565081.8	547791.2	323646.62
900	1732024.0	610318.5	362800.72
950	1940486.9	678343.2	406993.53
1000	2139622.5	746398.9	444752.1
